VarName1,Kingdom,Phylum,Class,Order,Family,Genus,Species
10166,Bacteria,Firmicutes,<undefined>,<undefined>,<undefined>,<undefined>,
10168,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-002,
10172,Bacteria,Firmicutes,<undefined>,<undefined>,<undefined>,<undefined>,
10176,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10177,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
1018,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10182,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,UCG-010_ge,
10189,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
1019,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10197,Bacteria,Firmicutes,Clostridia,<undefined>,<undefined>,<undefined>,
10199,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,UCG-010_ge,
102,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-002,
10202,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,zioleckii
10206,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10214,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10219,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,rectivirgula
1022,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-002,
10221,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10222,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10229,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1023,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10232,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10233,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10234,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10238,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10241,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10246,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,
10250,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,
10252,Bacteria,Bacteroidota,Bacteroidia,<undefined>,<undefined>,<undefined>,
10253,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10254,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10258,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10260,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_ge,
10261,Bacteria,Firmicutes,Clostridia,Oscillospirales,<undefined>,<undefined>,
10267,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10270,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_ND3007_group,
10275,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,
10276,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_YAB2003_group,
1028,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Veillonellaceae_UCG-001,
10282,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Moryella,
10287,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
1029,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,WCHB1-41_fa,WCHB1-41_ge,
10290,Bacteria,Firmicutes,<undefined>,<undefined>,<undefined>,<undefined>,
10291,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10298,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NC2004_group,
1030,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxellaceae_ge,
10303,Bacteria,Firmicutes,Bacilli,Lactobacillales,<undefined>,<undefined>,
10304,Bacteria,Proteobacteria,Gammaproteobacteria,<undefined>,<undefined>,<undefined>,
10305,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10306,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10308,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1031,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10312,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosporobacter,
10313,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_AC2044_group,
10317,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,<undefined>,
10328,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10329,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10333,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,
10336,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10337,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
10338,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10339,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospirales_fa,Oscillospirales_ge,
10341,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10344,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10347,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014_fa,Clostridia_UCG-014_ge,
10348,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
1035,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
10350,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10353,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,
10355,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10356,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1036,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10364,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,
10369,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10377,Bacteria,Firmicutes,Clostridia,<undefined>,<undefined>,<undefined>,
10378,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK3A20_group,
1038,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_YAB2003_group,
10381,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10387,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
10392,Bacteria,Firmicutes,Clostridia,Oscillospirales,<undefined>,<undefined>,
10393,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_UCG-001,Bacteroidales_UCG-001_ge,
10397,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_ge,
10401,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082_ge,
10405,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
10406,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_ge,
10407,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
1041,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10410,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
1042,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082_ge,
10431,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10433,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,aquatilis
10438,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10440,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10446,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10448,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1045,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10455,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,<undefined>,<undefined>,
1046,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10461,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,<undefined>,
10462,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,
10465,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1047,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,albensis
10474,Bacteria,Firmicutes,<undefined>,<undefined>,<undefined>,<undefined>,
1048,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10480,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10481,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10487,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,
10497,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10498,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured,
10499,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10505,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,<undefined>,<undefined>,
10508,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Pseudobutyrivibrio,
10510,Bacteria,Proteobacteria,Gammaproteobacteria,<undefined>,<undefined>,<undefined>,
10511,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10516,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10517,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,
10519,Bacteria,Firmicutes,Clostridia,<undefined>,<undefined>,<undefined>,
10527,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10528,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082_ge,
10530,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10538,Bacteria,Firmicutes,Clostridia,Oscillospirales,<undefined>,<undefined>,
10540,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge,
10544,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,<undefined>,
10546,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10550,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10554,Bacteria,Firmicutes,Bacilli,Lactobacillales,<undefined>,<undefined>,
10555,Bacteria,Firmicutes,Clostridia,<undefined>,<undefined>,<undefined>,
10560,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10569,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,
1057,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,
10571,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,Bradymonadales_fa,Bradymonadales_ge,
10574,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10576,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10577,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10578,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10579,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10581,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10582,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,
10583,Bacteria,Proteobacteria,Gammaproteobacteria,<undefined>,<undefined>,<undefined>,
10585,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10586,Bacteria,Firmicutes,Bacilli,RF39,RF39_fa,RF39_ge,
1059,Bacteria,Proteobacteria,Gammaproteobacteria,<undefined>,<undefined>,<undefined>,
10590,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014_fa,Clostridia_UCG-014_ge,
10599,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,
106,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10602,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Sporobacter,
10606,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10610,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10612,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10613,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10614,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
1062,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,FD2005,
10624,Bacteria,Firmicutes,Clostridia,<undefined>,<undefined>,<undefined>,
10635,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10637,Bacteria,Firmicutes,<undefined>,<undefined>,<undefined>,<undefined>,
10638,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10639,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_ge,
10643,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10644,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10655,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10659,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
1066,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10665,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10666,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,WCHB1-41_fa,WCHB1-41_ge,
10671,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082_ge,
10675,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
1068,Bacteria,Firmicutes,Bacilli,<undefined>,<undefined>,<undefined>,
1069,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
10692,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10694,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10695,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10697,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,
10698,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,
10699,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10702,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10706,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10714,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10715,Bacteria,Proteobacteria,Gammaproteobacteria,<undefined>,<undefined>,<undefined>,
10722,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10725,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-002,
10727,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-002,
10729,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1073,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10730,Bacteria,Bacteroidota,Bacteroidia,<undefined>,<undefined>,<undefined>,
10734,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10738,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10739,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,multocida
10743,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-002,
10745,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
10747,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10751,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Schwartzia,
10756,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured,
10757,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1076,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,p-251-o5,p-251-o5_ge,
10764,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10767,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10780,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
1079,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082_ge,
10791,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10793,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,<undefined>,
10796,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-002,
10797,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10798,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10799,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta,
10801,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
10802,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10803,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,<undefined>,
10809,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
1081,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_ge,
10810,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,
10813,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-001,
10823,Bacteria,Bacteroidota,Bacteroidia,<undefined>,<undefined>,<undefined>,
10824,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10826,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10827,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10828,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10829,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,
